# File generated by CMD 2.7 (http://stev.oapd.inaf.it/cmd) on Thu Dec  4 10:41:32 CET 2014
# PARSEC isochrones, release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014), MNRAS, 444, 2525 + Tang et al. (2014), MNRAS, 445, 4287
# Warning: the TP-AGB phase is not included! TP-AGB tracks are in preparation by Marigo et al.
# Photometric system: IPHAS
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: isochrone tables
#	Isochrone  Z = 0.02259	Y = 0.28941	[M/H] = 0.201	eta_R = 0.200	Age = 	1.0000e+06 yr
#      Z	log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    gR      gI      Ha	int_IMF
	0.022590	6.0000	0.94999999	0.9500	0.2896	3.6483	3.6711	4.046	4.053	3.426	3.731	3.12635612
	0.022590	6.0000	0.97961664	0.9796	0.3102	3.6506	3.6734	3.994	3.986	3.371	3.663	3.13509655
	0.022590	6.0000	1.00000000	1.0000	0.3254	3.6523	3.6738	3.957	3.939	3.331	3.617	3.14080405
	0.022590	6.0000	1.02843463	1.0284	0.3442	3.6544	3.6758	3.910	3.880	3.280	3.559	3.14836717
	0.022590	6.0000	1.04999995	1.0500	0.3594	3.6561	3.6761	3.871	3.832	3.240	3.513	3.15380883
	0.022590	6.0000	1.08305037	1.0831	0.3801	3.6584	3.6780	3.820	3.768	3.185	3.449	3.16169524
	0.022590	6.0000	1.10000002	1.1000	0.3913	3.6596	3.6783	3.792	3.733	3.155	3.415	3.16554141
	0.022590	6.0000	1.13684487	1.1368	0.4135	3.6619	3.6800	3.736	3.667	3.096	3.351	3.17347598
	0.022590	6.0000	1.14999998	1.1500	0.4219	3.6628	3.6800	3.715	3.642	3.074	3.327	3.17617631
	0.022590	6.0000	1.19717968	1.1972	0.4482	3.6657	3.6829	3.649	3.563	3.005	3.250	3.18533421
